id_cidade|ds_cidade|id_estado
1058|Betim|1
33|ACRELANDIA|2
485|ASSIS BRASIL|2
958|BRASILEIA|2
1388|CAPIXABA|2
1851|CRUZEIRO DO SUL|2
2022|Cravinhos|2
2232|EPITACIOLANDIA|2
2347|FEIJO|2
3879|MANCIO LIMA|2
3895|MANOEL URBANO|2
5628|RIO BRANCO|2
5767|Rio Branco|2
6585|SENA MADUREIRA|2
6593|SENADOR GUIOMARD|2
6845|SÃO PAULO|2
6987|TARAUACA|2
7241|UBERLANDIA|2
7535|XAPURI|2
59|AGUA BRANCA|3
248|ANADIA|3
391|ARAPIRACA|3
492|ATALAIA|3
564|Arapiraca|3
623|BALSAMO (ARAPIRACA)|3
629|BANANEIRAS (ARAPIRACA)|3
674|BARRA DE SANTO ANTONIO|3
679|BARRA DE SAO MIGUEL|3
704|BARRA GRANDE (MARAGOGI)|3
740|BATALHA|3
765|BELEM|3
779|BELO MONTE|3
853|BOCA DA MATA|3
952|BRANQUINHA|3
1149|CACIMBINHAS|3
1186|CAJARANA (ARAPIRACA)|3
1192|CAJUEIRO|3
1238|CAMPESTRE|3
1255|CAMPO ALEGRE|3
1272|CAMPO GRANDE|3
1307|CANAFISTULA (PALMEIRA DOS INDI|3
1309|CANAPI|3
1333|CANGANDU (ARAPIRACA)|3
1363|CAPELA|3
1460|CARNEIROS|3
1467|CARRASCO (ARAPIRACA)|3
1573|CHA PRETA|3
1638|COITE DO NOIA|3
1654|COLONIA LEOPOLDINA|3
1724|CONTAGEM|3
1729|COQUEIRO SECO|3
1791|CORURIPE|3
1792|CORURIPE DA CAL (PALMEIRA DOS|3
1811|CRAIBAS|3
1917|Cajueiro|3
2043|DELMIRO GOUVEIA|3
2103|DOIS RIACHOS|3
2277|ESTRELA DE ALAGOAS|3
2350|FEIRA GRANDE|3
2359|FELIZ DESERTO|3
2386|FLEXEIRAS|3
2547|GIRAU DO PONCIANO|3
2727|Girau do Ponciano|3
2805|IBATEGUARA|3
2877|IGACI|3
2895|IGREJA NOVA|3
2959|INHAPI|3
3249|Igaci|3
3262|Inhapi|3
3330|JACARE DOS HOMENS|3
3345|JACUIPE|3
3391|JAPARATINGA|3
3406|JARAMATAIA|3
3436|JEQUIA DA PRAIA|3
3472|JOAQUIM GOMES|3
3513|JUNDIA|3
3516|JUNQUEIRO|3
3577|Junqueiro|3
3603|LAGOA DA CANOA|3
3613|LAGOA DO CALDEIRAO (PALMEIRA D|3
3614|LAGOA DO CALDEIRAO (PALMEIRA DOS INDIOS)|3
3621|LAGOA DO RANCHO (ARAPIRACA)|3
3658|LAJES DO CALDEIRAO (PALMEIRA D|3
3674|LARANJAL (ARAPIRACA)|3
3715|LIMOEIRO DE ANADIA|3
3772|LUZIAPOLIS (CAMPO ALEGRE)|3
3823|MACEIO|3
3858|MAJOR ISIDORO|3
3907|MAR VERMELHO|3
3919|MARAGOGI|3
3929|MARAVILHA|3
3945|MARECHAL DEODORO|3
3961|MARIBONDO|3
4006|MATA GRANDE|3
4038|MATRIZ DE CAMARAGIBE|3
4073|MESSIAS|3
4088|MINADOR DO NEGRAO|3
4208|MONTEIROPOLIS|3
4280|MURICI|3
4297|Maceio|3
4298|Maceió|3
4313|Maragogi|3
4319|Marechal Deodoro|3
4330|Matriz de Camaragibe|3
4566|NOVO LINO|3
4632|OLHO D'AGUA DAS FLORES|3
4635|OLHO DAGUA DAS FLORES|3
4636|OLHO DAGUA DO CASADO|3
4638|OLHO DAGUA GRANDE|3
4653|OLIVENCA|3
4682|OURO BRANCO|3
4699|Olho D'Água das Flores|3
4740|PALESTINA|3
4761|PALMEIRA DOS INDIOS|3
4792|PAO DE ACUCAR|3
4858|PARICONHA|3
4861|PARIPUEIRA|3
4888|PASSO DE CAMARAGIBE|3
4913|PAU DARCO (ARAPIRACA)|3
4934|PAULO JACINTO|3
4998|PENEDO|3
5035|PIACABUCU|3
5054|PILAR|3
5066|PINDOBA|3
5118|PIRANHAS|3
5173|POCO DAS TRINCHEIRAS|3
5249|PORTO CALVO|3
5252|PORTO DE PEDRAS|3
5268|PORTO REAL DO COLEGIO|3
5295|POXIM (CORURIPE)|3
5431|Poco das Trincheiras|3
5479|QUEBRANGULO|3
5664|RIO LARGO|3
5738|ROTEIRO|3
5772|Rio Largo|3
5928|SANTA LUZIA DO NORTE|3
6028|SANTANA DO IPANEMA|3
6035|SANTANA DO MUNDAU|3
6074|SANTO ANTONIO (PALMEIRA DOS IN|3
6158|SAO BRAS|3
6327|SAO JOSE DA LAJE|3
6332|SAO JOSE DA TAPERA|3
6416|SAO LUIS DO QUITUNDE|3
6456|SAO MIGUEL DOS CAMPOS|3
6457|SAO MIGUEL DOS MILAGRES|3
6501|SAO SEBASTIAO|3
6564|SATUBA|3
6601|SENADOR RUI PALMEIRA|3
6790|Santana do Ipanema|3
6952|TANQUE DARCA|3
6975|TAQUARANA|3
7022|TEOTONIO VILELA|3
7098|TRAIPU|3
7269|UNIAO DOS PALMARES|3
7309|UniÃ£o dos Palmares|3
7310|União dos Palmares|3
7398|VICOSA|3
7438|VILA SAO FRANCISCO (ARAPIRACA)|3
7552|arapiraca|3
7603|junqueiro|3
7607|maceio|3
254|ANAMA|4
293|ANORI|4
336|APUI|4
493|ATALAIA DO NORTE|4
509|AUTAZES|4
662|BARCELOS|4
716|BARREIRINHA|4
791|BENJAMIN CONSTANT|4
807|BERURI|4
849|BOA VISTA DO RAMOS|4
854|BOCA DO ACRE|4
926|BORBA|4
1095|CAAPIRANGA|4
1353|CANUTAMA|4
1414|CARAUARI|4
1426|CAREIRO|4
1624|COARI|4
1634|CODAJAS|4
2188|EIRUNEPE|4
2415|FONTE BOA|4
2788|HUMAITA|4
3023|IRANDUBA|4
3060|ITACOATIARA|4
3155|ITAPIRANGA|4
3538|JUTAI|4
3581|LABREA|4
3875|MANACAPURU|4
3878|MANAUS|4
3892|MANICORE|4
4303|Manaus|4
4401|NHAMUNDA|4
4512|NOVA OLINDA DO NORTE|4
4548|NOVO AIRAO|4
4859|PARINTINS|4
4918|PAUINI|4
5320|PRESIDENTE FIGUEIREDO|4
5678|RIO PRETO DA EVA|4
6100|SANTO ANTONIO DO ICA|4
6219|SAO GABRIEL DA CACHOEIRA|4
6461|SAO PAULO DE OLIVENCA|4
6914|TABATINGA|4
7003|TEFE|4
7083|TONANTINS|4
7287|URUCARA|4
222|AMAPA|5
2373|FERREIRA GOMES|5
3675|LARANJAL DO JARI|5
3787|Laranjal do Jari|5
3814|MACAPA|5
4293|Macapa|5
4629|OIAPOQUE|5
4951|PEDRA BRANCA DO AMAPARI|5
5261|PORTO GRANDE|5
6010|SANTANA|5
6639|SERRA DO NAVIO|5
6990|TARTARUGALZINHO|5
11|ABAIRA|6
12|ABARE|6
17|ABRANTES|6
18|ABRANTES (CAMACARI)|6
23|ACAJUTIBA|6
37|ACUPE (SANTO AMARO)|6
45|ADUSTINA|6
65|AGUA FRIA|6
97|AIQUARA|6
107|ALAGOINHAS|6
116|ALCOBACA|6
120|ALEGRE (CONDEUBA)|6
136|ALGODAO (IBIRATAIA)|6
138|ALGODOES|6
139|ALGODOES (QUIJINGUE)|6
142|ALMADINA|6
232|AMARGOSA|6
234|AMELIA RODRIGUES|6
235|AMERICA DOURADA|6
249|ANAGE|6
263|ANDARAI|6
265|ANDORINHA|6
275|ANGICAL|6
280|ANGUERA|6
297|ANTAS|6
301|ANTONIO CARDOSO|6
304|ANTONIO GONCALVES|6
331|APORA|6
334|APUAREMA|6
350|ARACAS|6
353|ARACATU|6
357|ARACI|6
380|ARAMARI|6
392|ARAPIRANGA (RIO DE CONTAS)|6
413|ARATACA|6
416|ARATUIPE|6
437|AREMBEPE|6
438|AREMBEPE (CAMACARI)|6
443|ARGOLO (NOVA VICOSA)|6
444|ARIBICE (EUCLIDES DA CUNHA)|6
458|ARRAIAL DAJUDA|6
459|ARRAIAL DAJUDA (PORTO SEGURO)|6
503|AURELINO LEAL|6
529|Alagoinhas|6
547|Andaraí|6
551|Anguera|6
605|BAIANOPOLIS|6
607|BAIXA GRANDE|6
631|BANDEIRA DO COLONIA (ITAPETING|6
632|BANDEIRA DO COLONIA (ITAPETINGA)|6
642|BANZAE|6
665|BARRA|6
667|BARRA AVENIDA (JEQUIE)|6
669|BARRA DA ESTIVA|6
682|BARRA DO CHOCA|6
689|BARRA DO JACUIPE (CAMACARI)|6
690|BARRA DO MENDES|6
693|BARRA DO POJUCA (CAMACARI)|6
697|BARRA DO ROCHA|6
699|BARRA DO TARRACHIL (CHORROCHO)|6
705|BARRA GRANDE (VERA CRUZ)|6
713|BARREIRAS|6
721|BARREIROS (RIACHAO DO JACUIPE)|6
726|BARRO ALTO|6
730|BARRO PRETO|6
732|BARROCAS|6
745|BATE PE (VITORIA DA CONQUISTA)|6
774|BELMONTE|6
776|BELO CAMPO|6
783|BEM-BOM|6
784|BEM-BOM (CASA NOVA)|6
786|BENDEGO (CANUDOS)|6
820|BIRITINGA|6
833|BOA NOVA|6
851|BOA VISTA DO TUPIM|6
877|BOM JESUS DA LAPA|6
879|BOM JESUS DA SERRA|6
914|BONINAL|6
915|BONITO|6
923|BOQUIRA|6
937|BOTUPORA|6
973|BREJINHO DAS AMETISTAS (CAETIT|6
985|BREJO LUIZA DE BRITO (NOVO HOR|6
987|BREJOES|6
988|BREJOLANDIA|6
995|BROTAS DE MACAUBAS|6
997|BRUMADO|6
1003|BUERAREMA|6
1021|BURITIRAMA|6
1030|Bahia|6
1031|Baixa Grande|6
1043|Barreiras|6
1066|Boa Nova|6
1073|Bom Jesus da Lapa|6
1091|Brumado|6
1098|CAATIBA|6
1100|CABACEIRAS DO PARAGUACU|6
1109|CABOTO (CANDEIAS)|6
1110|CABRALIA (PIATA)|6
1121|CACHOEIRA|6
1154|CACULE|6
1155|CAEM|6
1158|CAETANOS|6
1161|CAETE-ACU (PALMEIRAS)|6
1163|CAETITE|6
1164|CAFARNAUM|6
1180|CAIMBE (EUCLIDES DA CUNHA)|6
1182|CAIRU|6
1199|CALDAS DO JORRO|6
1200|CALDAS DO JORRO (TUCANO)|6
1203|CALDEIRAO GRANDE|6
