id_filial|ds_filial|id_cidade
6|Filial - 000006|22
9|Filial - 000009|22
88|Filial - 000088|22
98|Filial - 000098|22
118|Filial - 000118|22
146|Filial - 000146|22
223|Filial - 000223|22
268|Filial - 000268|22
353|Filial - 000353|22
363|Filial - 000363|22
372|Filial - 000372|22
373|Filial - 000373|22
417|Filial - 000417|22
464|Filial - 000464|22
470|Filial - 000470|22
531|Filial - 000531|22
538|Filial - 000538|22
617|Filial - 000617|22
620|Filial - 000620|22
625|Filial - 000625|22
629|Filial - 000629|22
637|Filial - 000637|22
664|Filial - 000664|22
671|Filial - 000671|22
675|Filial - 000675|22
763|Filial - 000763|22
765|Filial - 000765|22
782|Filial - 000782|22
822|Filial - 000822|22
862|Filial - 000862|22
869|Filial - 000869|22
877|Filial - 000877|22
919|Filial - 000919|22
921|Filial - 000921|22
978|Filial - 000978|22
1112|Filial - 001112|22
1124|Filial - 001124|22
1136|Filial - 001136|22
1167|Filial - 001167|22
1210|Filial - 001210|22
1212|Filial - 001212|22
1221|Filial - 001221|22
1252|Filial - 001252|22
1278|Filial - 001278|22
1282|Filial - 001282|22
1320|Filial - 001320|22
1340|Filial - 001340|22
1346|Filial - 001346|22
1364|Filial - 001364|22
1384|Filial - 001384|22
1482|Filial - 001482|22
1531|Filial - 001531|22
1579|Filial - 001579|22
1580|Filial - 001580|22
1623|Filial - 001623|22
1657|Filial - 001657|22
1662|Filial - 001662|22
1704|Filial - 001704|22
1721|Filial - 001721|22
1727|Filial - 001727|22
466|Filial - 000466|163
748|Filial - 000748|163
482|Filial - 000482|168
1331|Filial - 001331|363
1365|Filial - 001365|363
1548|Filial - 001548|363
407|Filial - 000407|999
1118|Filial - 001118|999
1493|Filial - 001493|999
1561|Filial - 001561|2438
1127|Filial - 001127|443
1018|Filial - 001018|3000
1455|Filial - 001455|3000
1612|Filial - 001612|4249
77|Filial - 000077|1143
1625|Filial - 001625|1143
1537|Filial - 001537|5611
64|Filial - 000064|5641
71|Filial - 000071|5641
153|Filial - 000153|5641
214|Filial - 000214|5641
298|Filial - 000298|5641
575|Filial - 000575|5641
587|Filial - 000587|5641
1478|Filial - 001478|5641
1586|Filial - 001586|5641
1615|Filial - 001615|5641
100|Filial - 000100|26
122|Filial - 000122|26
134|Filial - 000134|26
135|Filial - 000135|26
333|Filial - 000333|26
522|Filial - 000522|26
604|Filial - 000604|26
740|Filial - 000740|26
855|Filial - 000855|26
930|Filial - 000930|26
1029|Filial - 001029|26
1052|Filial - 001052|26
1080|Filial - 001080|26
1205|Filial - 001205|26
1217|Filial - 001217|26
1225|Filial - 001225|26
1237|Filial - 001237|26
1245|Filial - 001245|26
1454|Filial - 001454|26
1483|Filial - 001483|26
1532|Filial - 001532|26
1505|Filial - 001505|463
1437|Filial - 001437|147
1145|Filial - 001145|1345
1504|Filial - 001504|1531
1676|Filial - 001676|5958
739|Filial - 000739|427
845|Filial - 000845|1351
1193|Filial - 001193|3648
245|Filial - 000245|4138
1486|Filial - 001486|4138
1632|Filial - 001632|4138
1501|Filial - 001501|6069
974|Filial - 000974|24
980|Filial - 000980|298
389|Filial - 000389|707
457|Filial - 000457|707
1512|Filial - 001512|707
60|Filial - 000060|4681
