id_produto|ds_produto|id_subcategoria
12006|Produto - 0000012006|572
45183|Produto - 0000045183|2142
78905|Produto - 0000078905|140
79758|Produto - 0000079758|3132
117196|Produto - 0000117196|96
169903|Produto - 0000169903|1735
185406|Produto - 0000185406|82
201415|Produto - 0000201415|1519
284396|Produto - 0000284396|3132
293376|Produto - 0000293376|1309
299033|Produto - 0000299033|336
301419|Produto - 0000301419|2370
312382|Produto - 0000312382|1610
315401|Produto - 0000315401|2880
316342|Produto - 0000316342|1236
335667|Produto - 0000335667|3228
344427|Produto - 0000344427|2925
384651|Produto - 0000384651|3132
384922|Produto - 0000384922|2300
389046|Produto - 0000389046|314
389564|Produto - 0000389564|187
402341|Produto - 0000402341|3132
407505|Produto - 0000407505|3132
415292|Produto - 0000415292|314
415634|Produto - 0000415634|2999
435426|Produto - 0000435426|2911
459645|Produto - 0000459645|1167
461360|Produto - 0000461360|1588
470211|Produto - 0000470211|1588
473026|Produto - 0000473026|3551
474872|Produto - 0000474872|948
475138|Produto - 0000475138|1588
503087|Produto - 0000503087|1588
510345|Produto - 0000510345|1588
530437|Produto - 0000530437|1052
536336|Produto - 0000536336|1167
547734|Produto - 0000547734|1588
550923|Produto - 0000550923|1588
562965|Produto - 0000562965|336
572012|Produto - 0000572012|1673
583806|Produto - 0000583806|3551
592495|Produto - 0000592495|886
608101|Produto - 0000608101|1673
613432|Produto - 0000613432|1370
627400|Produto - 0000627400|1588
649966|Produto - 0000649966|1111
651906|Produto - 0000651906|685
674222|Produto - 0000674222|937
685233|Produto - 0000685233|1111
703591|Produto - 0000703591|1111
717551|Produto - 0000717551|1111
718986|Produto - 0000718986|82
723401|Produto - 0000723401|1659
729788|Produto - 0000729788|3150
737147|Produto - 0000737147|3559
768638|Produto - 0000768638|1111
769337|Produto - 0000769337|566
772325|Produto - 0000772325|3150
773905|Produto - 0000773905|1588
779817|Produto - 0000779817|1318
813042|Produto - 0000813042|645
819810|Produto - 0000819810|3551
821305|Produto - 0000821305|7
839254|Produto - 0000839254|1588
842523|Produto - 0000842523|1167
844516|Produto - 0000844516|1318
861573|Produto - 0000861573|1588
861776|Produto - 0000861776|3551
870375|Produto - 0000870375|1052
876635|Produto - 0000876635|1588
881267|Produto - 0000881267|837
887538|Produto - 0000887538|1588
889743|Produto - 0000889743|3551
905784|Produto - 0000905784|634
907176|Produto - 0000907176|1100
918491|Produto - 0000918491|3249
927210|Produto - 0000927210|1588
931364|Produto - 0000931364|1111
932206|Produto - 0000932206|685
957073|Produto - 0000957073|1588
957773|Produto - 0000957773|2300
962221|Produto - 0000962221|1890
971083|Produto - 0000971083|3150
1002399|Produto - 0001002399|634
1015553|Produto - 0001015553|1111
1015728|Produto - 0001015728|1167
1015986|Produto - 0001015986|685
1023756|Produto - 0001023756|1111
1031978|Produto - 0001031978|1481
1043147|Produto - 0001043147|1090
1047445|Produto - 0001047445|1111
1062903|Produto - 0001062903|2996
1068151|Produto - 0001068151|1673
1068837|Produto - 0001068837|889
1071611|Produto - 0001071611|2466
1079686|Produto - 0001079686|685
1080016|Produto - 0001080016|3551
1099460|Produto - 0001099460|1111
1115504|Produto - 0001115504|2213
1119456|Produto - 0001119456|1111
1120799|Produto - 0001120799|1481
1146081|Produto - 0001146081|3259
1151480|Produto - 0001151480|314
1161022|Produto - 0001161022|1590
1163423|Produto - 0001163423|3150
1165178|Produto - 0001165178|1187
1186304|Produto - 0001186304|1111
1186444|Produto - 0001186444|3150
1195992|Produto - 0001195992|1111
1214262|Produto - 0001214262|1111
1238339|Produto - 0001238339|3551
1241558|Produto - 0001241558|1590
1267042|Produto - 0001267042|1052
1274369|Produto - 0001274369|889
1275410|Produto - 0001275410|567
1308722|Produto - 0001308722|757
1323713|Produto - 0001323713|1588
1361958|Produto - 0001361958|2911
1371429|Produto - 0001371429|1111
1388636|Produto - 0001388636|3551
1411323|Produto - 0001411323|685
1417833|Produto - 0001417833|1588
1420972|Produto - 0001420972|1318
1432614|Produto - 0001432614|509
1436966|Produto - 0001436966|1673
1437565|Produto - 0001437565|170
1453249|Produto - 0001453249|1202
1453678|Produto - 0001453678|3152
1459091|Produto - 0001459091|3551
1476640|Produto - 0001476640|1167
1481510|Produto - 0001481510|2060
1484563|Produto - 0001484563|2213
1504680|Produto - 0001504680|1111
1511391|Produto - 0001511391|1111
1517388|Produto - 0001517388|3551
1519749|Produto - 0001519749|3150
1522179|Produto - 0001522179|1588
1526956|Produto - 0001526956|1111
1528104|Produto - 0001528104|1111
1529785|Produto - 0001529785|3150
1535314|Produto - 0001535314|2906
1541713|Produto - 0001541713|509
1544063|Produto - 0001544063|1053
1546918|Produto - 0001546918|1053
1558728|Produto - 0001558728|948
1572470|Produto - 0001572470|170
1574789|Produto - 0001574789|1588
1599457|Produto - 0001599457|2906
1608564|Produto - 0001608564|2906
1620710|Produto - 0001620710|1673
1626343|Produto - 0001626343|3551
1642299|Produto - 0001642299|3551
1645091|Produto - 0001645091|757
1661941|Produto - 0001661941|1167
1663117|Produto - 0001663117|1302
1671595|Produto - 0001671595|3551
1684060|Produto - 0001684060|1187
1685171|Produto - 0001685171|1588
1702707|Produto - 0001702707|2906
1710665|Produto - 0001710665|1053
1730316|Produto - 0001730316|1216
1733492|Produto - 0001733492|1167
1733861|Produto - 0001733861|1641
1736268|Produto - 0001736268|1167
1737953|Produto - 0001737953|509
1749112|Produto - 0001749112|1588
1757481|Produto - 0001757481|1090
1761372|Produto - 0001761372|3551
1787358|Produto - 0001787358|1588
1791998|Produto - 0001791998|3152
1829213|Produto - 0001829213|2906
1838738|Produto - 0001838738|1433
1851666|Produto - 0001851666|567
1854366|Produto - 0001854366|395
1865110|Produto - 0001865110|1666
1866971|Produto - 0001866971|1111
1873439|Produto - 0001873439|567
1875459|Produto - 0001875459|757
1879832|Produto - 0001879832|1111
1896392|Produto - 0001896392|1322
1897952|Produto - 0001897952|1588
1899155|Produto - 0001899155|1673
1900496|Produto - 0001900496|1111
1901696|Produto - 0001901696|1187
1915426|Produto - 0001915426|3551
