id_subcategoria|ds_subcategoria|id_categoria
132|Sub-categoria - 00132|1
137|Sub-categoria - 00137|1
288|Sub-categoria - 00288|1
380|Sub-categoria - 00380|1
397|Sub-categoria - 00397|1
498|Sub-categoria - 00498|1
508|Sub-categoria - 00508|1
514|Sub-categoria - 00514|1
586|Sub-categoria - 00586|1
668|Sub-categoria - 00668|1
751|Sub-categoria - 00751|1
923|Sub-categoria - 00923|1
1040|Sub-categoria - 01040|1
1170|Sub-categoria - 01170|1
1211|Sub-categoria - 01211|1
1426|Sub-categoria - 01426|1
1459|Sub-categoria - 01459|1
1466|Sub-categoria - 01466|1
1483|Sub-categoria - 01483|1
1486|Sub-categoria - 01486|1
1668|Sub-categoria - 01668|1
1672|Sub-categoria - 01672|1
1729|Sub-categoria - 01729|1
1763|Sub-categoria - 01763|1
2056|Sub-categoria - 02056|1
2279|Sub-categoria - 02279|1
2326|Sub-categoria - 02326|1
2382|Sub-categoria - 02382|1
2535|Sub-categoria - 02535|1
2552|Sub-categoria - 02552|1
6|Sub-categoria - 00006|2
28|Sub-categoria - 00028|2
37|Sub-categoria - 00037|2
57|Sub-categoria - 00057|2
118|Sub-categoria - 00118|2
151|Sub-categoria - 00151|2
167|Sub-categoria - 00167|2
218|Sub-categoria - 00218|2
268|Sub-categoria - 00268|2
388|Sub-categoria - 00388|2
391|Sub-categoria - 00391|2
393|Sub-categoria - 00393|2
394|Sub-categoria - 00394|2
402|Sub-categoria - 00402|2
519|Sub-categoria - 00519|2
1071|Sub-categoria - 01071|2
1296|Sub-categoria - 01296|2
1413|Sub-categoria - 01413|2
1476|Sub-categoria - 01476|2
1651|Sub-categoria - 01651|2
1661|Sub-categoria - 01661|2
1716|Sub-categoria - 01716|2
2029|Sub-categoria - 02029|2
2167|Sub-categoria - 02167|2
2212|Sub-categoria - 02212|2
2282|Sub-categoria - 02282|2
2515|Sub-categoria - 02515|2
2538|Sub-categoria - 02538|2
3042|Sub-categoria - 03042|2
3131|Sub-categoria - 03131|2
3392|Sub-categoria - 03392|2
4|Sub-categoria - 00004|3
9|Sub-categoria - 00009|3
64|Sub-categoria - 00064|3
83|Sub-categoria - 00083|3
104|Sub-categoria - 00104|3
355|Sub-categoria - 00355|3
359|Sub-categoria - 00359|3
360|Sub-categoria - 00360|3
361|Sub-categoria - 00361|3
365|Sub-categoria - 00365|3
366|Sub-categoria - 00366|3
367|Sub-categoria - 00367|3
372|Sub-categoria - 00372|3
395|Sub-categoria - 00395|3
2033|Sub-categoria - 02033|3
1|Sub-categoria - 00001|4
2|Sub-categoria - 00002|4
5|Sub-categoria - 00005|4
8|Sub-categoria - 00008|4
25|Sub-categoria - 00025|4
74|Sub-categoria - 00074|4
82|Sub-categoria - 00082|4
90|Sub-categoria - 00090|4
92|Sub-categoria - 00092|4
96|Sub-categoria - 00096|4
100|Sub-categoria - 00100|4
122|Sub-categoria - 00122|4
123|Sub-categoria - 00123|4
134|Sub-categoria - 00134|4
143|Sub-categoria - 00143|4
146|Sub-categoria - 00146|4
152|Sub-categoria - 00152|4
164|Sub-categoria - 00164|4
187|Sub-categoria - 00187|4
198|Sub-categoria - 00198|4
221|Sub-categoria - 00221|4
224|Sub-categoria - 00224|4
227|Sub-categoria - 00227|4
231|Sub-categoria - 00231|4
235|Sub-categoria - 00235|4
250|Sub-categoria - 00250|4
258|Sub-categoria - 00258|4
263|Sub-categoria - 00263|4
264|Sub-categoria - 00264|4
267|Sub-categoria - 00267|4
270|Sub-categoria - 00270|4
285|Sub-categoria - 00285|4
287|Sub-categoria - 00287|4
297|Sub-categoria - 00297|4
301|Sub-categoria - 00301|4
302|Sub-categoria - 00302|4
309|Sub-categoria - 00309|4
314|Sub-categoria - 00314|4
319|Sub-categoria - 00319|4
341|Sub-categoria - 00341|4
343|Sub-categoria - 00343|4
363|Sub-categoria - 00363|4
373|Sub-categoria - 00373|4
396|Sub-categoria - 00396|4
399|Sub-categoria - 00399|4
405|Sub-categoria - 00405|4
431|Sub-categoria - 00431|4
433|Sub-categoria - 00433|4
434|Sub-categoria - 00434|4
435|Sub-categoria - 00435|4
439|Sub-categoria - 00439|4
440|Sub-categoria - 00440|4
441|Sub-categoria - 00441|4
442|Sub-categoria - 00442|4
447|Sub-categoria - 00447|4
448|Sub-categoria - 00448|4
449|Sub-categoria - 00449|4
450|Sub-categoria - 00450|4
452|Sub-categoria - 00452|4
453|Sub-categoria - 00453|4
454|Sub-categoria - 00454|4
476|Sub-categoria - 00476|4
477|Sub-categoria - 00477|4
488|Sub-categoria - 00488|4
489|Sub-categoria - 00489|4
513|Sub-categoria - 00513|4
577|Sub-categoria - 00577|4
612|Sub-categoria - 00612|4
632|Sub-categoria - 00632|4
683|Sub-categoria - 00683|4
688|Sub-categoria - 00688|4
696|Sub-categoria - 00696|4
715|Sub-categoria - 00715|4
719|Sub-categoria - 00719|4
726|Sub-categoria - 00726|4
739|Sub-categoria - 00739|4
744|Sub-categoria - 00744|4
755|Sub-categoria - 00755|4
758|Sub-categoria - 00758|4
762|Sub-categoria - 00762|4
766|Sub-categoria - 00766|4
777|Sub-categoria - 00777|4
819|Sub-categoria - 00819|4
850|Sub-categoria - 00850|4
851|Sub-categoria - 00851|4
854|Sub-categoria - 00854|4
860|Sub-categoria - 00860|4
880|Sub-categoria - 00880|4
900|Sub-categoria - 00900|4
901|Sub-categoria - 00901|4
904|Sub-categoria - 00904|4
905|Sub-categoria - 00905|4
912|Sub-categoria - 00912|4
913|Sub-categoria - 00913|4
914|Sub-categoria - 00914|4
915|Sub-categoria - 00915|4
917|Sub-categoria - 00917|4
942|Sub-categoria - 00942|4
955|Sub-categoria - 00955|4
961|Sub-categoria - 00961|4
963|Sub-categoria - 00963|4
964|Sub-categoria - 00964|4
974|Sub-categoria - 00974|4
976|Sub-categoria - 00976|4
987|Sub-categoria - 00987|4
988|Sub-categoria - 00988|4
993|Sub-categoria - 00993|4
994|Sub-categoria - 00994|4
997|Sub-categoria - 00997|4
998|Sub-categoria - 00998|4
1017|Sub-categoria - 01017|4
1042|Sub-categoria - 01042|4
1062|Sub-categoria - 01062|4
1102|Sub-categoria - 01102|4
1113|Sub-categoria - 01113|4
1142|Sub-categoria - 01142|4
1149|Sub-categoria - 01149|4
1215|Sub-categoria - 01215|4
1229|Sub-categoria - 01229|4
1231|Sub-categoria - 01231|4
1233|Sub-categoria - 01233|4
1234|Sub-categoria - 01234|4
1238|Sub-categoria - 01238|4
1239|Sub-categoria - 01239|4
1240|Sub-categoria - 01240|4
1244|Sub-categoria - 01244|4
1247|Sub-categoria - 01247|4
1316|Sub-categoria - 01316|4
1317|Sub-categoria - 01317|4
1326|Sub-categoria - 01326|4
1338|Sub-categoria - 01338|4
1340|Sub-categoria - 01340|4
1347|Sub-categoria - 01347|4
1348|Sub-categoria - 01348|4
1353|Sub-categoria - 01353|4
1359|Sub-categoria - 01359|4
1385|Sub-categoria - 01385|4
1390|Sub-categoria - 01390|4
1418|Sub-categoria - 01418|4
1427|Sub-categoria - 01427|4
1433|Sub-categoria - 01433|4
1439|Sub-categoria - 01439|4
1447|Sub-categoria - 01447|4
1471|Sub-categoria - 01471|4
1506|Sub-categoria - 01506|4
1513|Sub-categoria - 01513|4
1531|Sub-categoria - 01531|4
1534|Sub-categoria - 01534|4
1548|Sub-categoria - 01548|4
1555|Sub-categoria - 01555|4
1558|Sub-categoria - 01558|4
1570|Sub-categoria - 01570|4
1575|Sub-categoria - 01575|4
1576|Sub-categoria - 01576|4
1632|Sub-categoria - 01632|4
1635|Sub-categoria - 01635|4
1667|Sub-categoria - 01667|4
1675|Sub-categoria - 01675|4
1678|Sub-categoria - 01678|4
1681|Sub-categoria - 01681|4
1714|Sub-categoria - 01714|4
1735|Sub-categoria - 01735|4
1736|Sub-categoria - 01736|4
1737|Sub-categoria - 01737|4
1745|Sub-categoria - 01745|4
1748|Sub-categoria - 01748|4
1772|Sub-categoria - 01772|4
1778|Sub-categoria - 01778|4
1781|Sub-categoria - 01781|4
1788|Sub-categoria - 01788|4
1812|Sub-categoria - 01812|4
1819|Sub-categoria - 01819|4
1821|Sub-categoria - 01821|4
1874|Sub-categoria - 01874|4
1889|Sub-categoria - 01889|4
1901|Sub-categoria - 01901|4
1908|Sub-categoria - 01908|4
1911|Sub-categoria - 01911|4
1912|Sub-categoria - 01912|4
1913|Sub-categoria - 01913|4
1920|Sub-categoria - 01920|4
1921|Sub-categoria - 01921|4
1926|Sub-categoria - 01926|4
1930|Sub-categoria - 01930|4
1947|Sub-categoria - 01947|4
1975|Sub-categoria - 01975|4
1977|Sub-categoria - 01977|4
1978|Sub-categoria - 01978|4
1982|Sub-categoria - 01982|4
1994|Sub-categoria - 01994|4
1995|Sub-categoria - 01995|4
1998|Sub-categoria - 01998|4
1999|Sub-categoria - 01999|4
2009|Sub-categoria - 02009|4
2013|Sub-categoria - 02013|4
2031|Sub-categoria - 02031|4
2041|Sub-categoria - 02041|4
2053|Sub-categoria - 02053|4
2061|Sub-categoria - 02061|4
2071|Sub-categoria - 02071|4
2099|Sub-categoria - 02099|4
2119|Sub-categoria - 02119|4
2121|Sub-categoria - 02121|4
2126|Sub-categoria - 02126|4
2128|Sub-categoria - 02128|4
2129|Sub-categoria - 02129|4
2132|Sub-categoria - 02132|4
2136|Sub-categoria - 02136|4
2144|Sub-categoria - 02144|4
2184|Sub-categoria - 02184|4
2190|Sub-categoria - 02190|4
2197|Sub-categoria - 02197|4
2201|Sub-categoria - 02201|4
2203|Sub-categoria - 02203|4
2204|Sub-categoria - 02204|4
2261|Sub-categoria - 02261|4
2264|Sub-categoria - 02264|4
2266|Sub-categoria - 02266|4
2288|Sub-categoria - 02288|4
2294|Sub-categoria - 02294|4
2295|Sub-categoria - 02295|4
2300|Sub-categoria - 02300|4
2304|Sub-categoria - 02304|4
2310|Sub-categoria - 02310|4
2316|Sub-categoria - 02316|4
2324|Sub-categoria - 02324|4
2381|Sub-categoria - 02381|4
2385|Sub-categoria - 02385|4
2386|Sub-categoria - 02386|4
2413|Sub-categoria - 02413|4
2429|Sub-categoria - 02429|4
2446|Sub-categoria - 02446|4
2453|Sub-categoria - 02453|4
2462|Sub-categoria - 02462|4
2478|Sub-categoria - 02478|4
2480|Sub-categoria - 02480|4
2490|Sub-categoria - 02490|4
2494|Sub-categoria - 02494|4
2500|Sub-categoria - 02500|4
2529|Sub-categoria - 02529|4
2539|Sub-categoria - 02539|4
2548|Sub-categoria - 02548|4
2663|Sub-categoria - 02663|4
2673|Sub-categoria - 02673|4
2745|Sub-categoria - 02745|4
2765|Sub-categoria - 02765|4
2778|Sub-categoria - 02778|4
2789|Sub-categoria - 02789|4
2820|Sub-categoria - 02820|4
2824|Sub-categoria - 02824|4
2837|Sub-categoria - 02837|4
2855|Sub-categoria - 02855|4
2860|Sub-categoria - 02860|4
2872|Sub-categoria - 02872|4
2884|Sub-categoria - 02884|4
2929|Sub-categoria - 02929|4
2944|Sub-categoria - 02944|4
2972|Sub-categoria - 02972|4
2976|Sub-categoria - 02976|4
2978|Sub-categoria - 02978|4
2989|Sub-categoria - 02989|4
2993|Sub-categoria - 02993|4
2996|Sub-categoria - 02996|4
2999|Sub-categoria - 02999|4
3065|Sub-categoria - 03065|4
3066|Sub-categoria - 03066|4
3068|Sub-categoria - 03068|4
3070|Sub-categoria - 03070|4
3116|Sub-categoria - 03116|4
3118|Sub-categoria - 03118|4
3122|Sub-categoria - 03122|4
3132|Sub-categoria - 03132|4
3173|Sub-categoria - 03173|4
3180|Sub-categoria - 03180|4
3194|Sub-categoria - 03194|4
3213|Sub-categoria - 03213|4
3228|Sub-categoria - 03228|4
3238|Sub-categoria - 03238|4
3269|Sub-categoria - 03269|4
3277|Sub-categoria - 03277|4
3278|Sub-categoria - 03278|4
3291|Sub-categoria - 03291|4
3292|Sub-categoria - 03292|4
3397|Sub-categoria - 03397|4
3403|Sub-categoria - 03403|4
3407|Sub-categoria - 03407|4
3410|Sub-categoria - 03410|4
3419|Sub-categoria - 03419|4
3433|Sub-categoria - 03433|4
3513|Sub-categoria - 03513|4
3531|Sub-categoria - 03531|4
3583|Sub-categoria - 03583|4
3615|Sub-categoria - 03615|4
3618|Sub-categoria - 03618|4
3619|Sub-categoria - 03619|4
23|Sub-categoria - 00023|5
26|Sub-categoria - 00026|5
42|Sub-categoria - 00042|5
49|Sub-categoria - 00049|5
59|Sub-categoria - 00059|5
163|Sub-categoria - 00163|5
182|Sub-categoria - 00182|5
189|Sub-categoria - 00189|5
194|Sub-categoria - 00194|5
195|Sub-categoria - 00195|5
248|Sub-categoria - 00248|5
255|Sub-categoria - 00255|5
256|Sub-categoria - 00256|5
280|Sub-categoria - 00280|5
408|Sub-categoria - 00408|5
418|Sub-categoria - 00418|5
478|Sub-categoria - 00478|5
485|Sub-categoria - 00485|5
533|Sub-categoria - 00533|5
534|Sub-categoria - 00534|5
539|Sub-categoria - 00539|5
545|Sub-categoria - 00545|5
550|Sub-categoria - 00550|5
552|Sub-categoria - 00552|5
553|Sub-categoria - 00553|5
568|Sub-categoria - 00568|5
569|Sub-categoria - 00569|5
618|Sub-categoria - 00618|5
619|Sub-categoria - 00619|5
620|Sub-categoria - 00620|5
621|Sub-categoria - 00621|5
622|Sub-categoria - 00622|5
624|Sub-categoria - 00624|5
627|Sub-categoria - 00627|5
628|Sub-categoria - 00628|5
630|Sub-categoria - 00630|5
631|Sub-categoria - 00631|5
636|Sub-categoria - 00636|5
638|Sub-categoria - 00638|5
639|Sub-categoria - 00639|5
640|Sub-categoria - 00640|5
642|Sub-categoria - 00642|5
648|Sub-categoria - 00648|5
754|Sub-categoria - 00754|5
761|Sub-categoria - 00761|5
821|Sub-categoria - 00821|5
925|Sub-categoria - 00925|5
931|Sub-categoria - 00931|5
958|Sub-categoria - 00958|5
983|Sub-categoria - 00983|5
1168|Sub-categoria - 01168|5
1197|Sub-categoria - 01197|5
1442|Sub-categoria - 01442|5
1561|Sub-categoria - 01561|5
1567|Sub-categoria - 01567|5
1770|Sub-categoria - 01770|5
1776|Sub-categoria - 01776|5
2034|Sub-categoria - 02034|5
2893|Sub-categoria - 02893|5
2947|Sub-categoria - 02947|5
3002|Sub-categoria - 03002|5
3004|Sub-categoria - 03004|5
3133|Sub-categoria - 03133|5
3169|Sub-categoria - 03169|5
3396|Sub-categoria - 03396|5
3411|Sub-categoria - 03411|5
3578|Sub-categoria - 03578|5
15|Sub-categoria - 00015|6
39|Sub-categoria - 00039|6
86|Sub-categoria - 00086|6
113|Sub-categoria - 00113|6
145|Sub-categoria - 00145|6
162|Sub-categoria - 00162|6
304|Sub-categoria - 00304|6
358|Sub-categoria - 00358|6
362|Sub-categoria - 00362|6
385|Sub-categoria - 00385|6
446|Sub-categoria - 00446|6
458|Sub-categoria - 00458|6
461|Sub-categoria - 00461|6
469|Sub-categoria - 00469|6
470|Sub-categoria - 00470|6
471|Sub-categoria - 00471|6
472|Sub-categoria - 00472|6
473|Sub-categoria - 00473|6
474|Sub-categoria - 00474|6
475|Sub-categoria - 00475|6
479|Sub-categoria - 00479|6
482|Sub-categoria - 00482|6
484|Sub-categoria - 00484|6
486|Sub-categoria - 00486|6
496|Sub-categoria - 00496|6
500|Sub-categoria - 00500|6
530|Sub-categoria - 00530|6
537|Sub-categoria - 00537|6
549|Sub-categoria - 00549|6
551|Sub-categoria - 00551|6
555|Sub-categoria - 00555|6
558|Sub-categoria - 00558|6
563|Sub-categoria - 00563|6
574|Sub-categoria - 00574|6
579|Sub-categoria - 00579|6
583|Sub-categoria - 00583|6
589|Sub-categoria - 00589|6
595|Sub-categoria - 00595|6
626|Sub-categoria - 00626|6
647|Sub-categoria - 00647|6
667|Sub-categoria - 00667|6
669|Sub-categoria - 00669|6
680|Sub-categoria - 00680|6
684|Sub-categoria - 00684|6
689|Sub-categoria - 00689|6
690|Sub-categoria - 00690|6
706|Sub-categoria - 00706|6
709|Sub-categoria - 00709|6
720|Sub-categoria - 00720|6
722|Sub-categoria - 00722|6
723|Sub-categoria - 00723|6
725|Sub-categoria - 00725|6
727|Sub-categoria - 00727|6
734|Sub-categoria - 00734|6
735|Sub-categoria - 00735|6
736|Sub-categoria - 00736|6
737|Sub-categoria - 00737|6
738|Sub-categoria - 00738|6
745|Sub-categoria - 00745|6
748|Sub-categoria - 00748|6
750|Sub-categoria - 00750|6
753|Sub-categoria - 00753|6
780|Sub-categoria - 00780|6
781|Sub-categoria - 00781|6
788|Sub-categoria - 00788|6
793|Sub-categoria - 00793|6
794|Sub-categoria - 00794|6
798|Sub-categoria - 00798|6
799|Sub-categoria - 00799|6
803|Sub-categoria - 00803|6
806|Sub-categoria - 00806|6
807|Sub-categoria - 00807|6
808|Sub-categoria - 00808|6
809|Sub-categoria - 00809|6
812|Sub-categoria - 00812|6
814|Sub-categoria - 00814|6
816|Sub-categoria - 00816|6
817|Sub-categoria - 00817|6
818|Sub-categoria - 00818|6
820|Sub-categoria - 00820|6
822|Sub-categoria - 00822|6
823|Sub-categoria - 00823|6
824|Sub-categoria - 00824|6
825|Sub-categoria - 00825|6
830|Sub-categoria - 00830|6
831|Sub-categoria - 00831|6
833|Sub-categoria - 00833|6
834|Sub-categoria - 00834|6
835|Sub-categoria - 00835|6
836|Sub-categoria - 00836|6
838|Sub-categoria - 00838|6
839|Sub-categoria - 00839|6
840|Sub-categoria - 00840|6
841|Sub-categoria - 00841|6
843|Sub-categoria - 00843|6
845|Sub-categoria - 00845|6
846|Sub-categoria - 00846|6
847|Sub-categoria - 00847|6
848|Sub-categoria - 00848|6
853|Sub-categoria - 00853|6
855|Sub-categoria - 00855|6
857|Sub-categoria - 00857|6
858|Sub-categoria - 00858|6
859|Sub-categoria - 00859|6
863|Sub-categoria - 00863|6
869|Sub-categoria - 00869|6
879|Sub-categoria - 00879|6
881|Sub-categoria - 00881|6
890|Sub-categoria - 00890|6
892|Sub-categoria - 00892|6
893|Sub-categoria - 00893|6
894|Sub-categoria - 00894|6
919|Sub-categoria - 00919|6
930|Sub-categoria - 00930|6
933|Sub-categoria - 00933|6
973|Sub-categoria - 00973|6
984|Sub-categoria - 00984|6
1146|Sub-categoria - 01146|6
1375|Sub-categoria - 01375|6
1464|Sub-categoria - 01464|6
1473|Sub-categoria - 01473|6
1510|Sub-categoria - 01510|6
1541|Sub-categoria - 01541|6
1663|Sub-categoria - 01663|6
1709|Sub-categoria - 01709|6
1712|Sub-categoria - 01712|6
1820|Sub-categoria - 01820|6
2044|Sub-categoria - 02044|6
2051|Sub-categoria - 02051|6
2103|Sub-categoria - 02103|6
2116|Sub-categoria - 02116|6
2137|Sub-categoria - 02137|6
2154|Sub-categoria - 02154|6
2220|Sub-categoria - 02220|6
2239|Sub-categoria - 02239|6
2404|Sub-categoria - 02404|6
2417|Sub-categoria - 02417|6
2437|Sub-categoria - 02437|6
2445|Sub-categoria - 02445|6
2451|Sub-categoria - 02451|6
2455|Sub-categoria - 02455|6
2456|Sub-categoria - 02456|6
2457|Sub-categoria - 02457|6
2459|Sub-categoria - 02459|6
2461|Sub-categoria - 02461|6
2541|Sub-categoria - 02541|6
2882|Sub-categoria - 02882|6
2883|Sub-categoria - 02883|6
2900|Sub-categoria - 02900|6
2955|Sub-categoria - 02955|6
2971|Sub-categoria - 02971|6
3095|Sub-categoria - 03095|6
3110|Sub-categoria - 03110|6
3126|Sub-categoria - 03126|6
3164|Sub-categoria - 03164|6
3166|Sub-categoria - 03166|6
3265|Sub-categoria - 03265|6
3266|Sub-categoria - 03266|6
3279|Sub-categoria - 03279|6
3288|Sub-categoria - 03288|6
3318|Sub-categoria - 03318|6
3337|Sub-categoria - 03337|6
3338|Sub-categoria - 03338|6
3381|Sub-categoria - 03381|6
3382|Sub-categoria - 03382|6
3383|Sub-categoria - 03383|6
3387|Sub-categoria - 03387|6
3393|Sub-categoria - 03393|6
3412|Sub-categoria - 03412|6
3502|Sub-categoria - 03502|6
3519|Sub-categoria - 03519|6
3540|Sub-categoria - 03540|6
3568|Sub-categoria - 03568|6
3577|Sub-categoria - 03577|6
3622|Sub-categoria - 03622|6
52|Sub-categoria - 00052|7
172|Sub-categoria - 00172|7
196|Sub-categoria - 00196|7
340|Sub-categoria - 00340|7
417|Sub-categoria - 00417|7
783|Sub-categoria - 00783|7
790|Sub-categoria - 00790|7
938|Sub-categoria - 00938|7
986|Sub-categoria - 00986|7
1178|Sub-categoria - 01178|7
1179|Sub-categoria - 01179|7
1181|Sub-categoria - 01181|7
1183|Sub-categoria - 01183|7
1186|Sub-categoria - 01186|7
1252|Sub-categoria - 01252|7
1361|Sub-categoria - 01361|7
1363|Sub-categoria - 01363|7
1739|Sub-categoria - 01739|7
1771|Sub-categoria - 01771|7
1985|Sub-categoria - 01985|7
2657|Sub-categoria - 02657|7
3134|Sub-categoria - 03134|7
3315|Sub-categoria - 03315|7
184|Sub-categoria - 00184|8
463|Sub-categoria - 00463|8
1379|Sub-categoria - 01379|8
1634|Sub-categoria - 01634|8
2086|Sub-categoria - 02086|8
2374|Sub-categoria - 02374|8
2481|Sub-categoria - 02481|8
2780|Sub-categoria - 02780|8
3121|Sub-categoria - 03121|8
3135|Sub-categoria - 03135|8
3488|Sub-categoria - 03488|8
19|Sub-categoria - 00019|9
24|Sub-categoria - 00024|9
45|Sub-categoria - 00045|9
54|Sub-categoria - 00054|9
73|Sub-categoria - 00073|9
81|Sub-categoria - 00081|9
93|Sub-categoria - 00093|9
94|Sub-categoria - 00094|9
95|Sub-categoria - 00095|9
99|Sub-categoria - 00099|9
105|Sub-categoria - 00105|9
106|Sub-categoria - 00106|9
107|Sub-categoria - 00107|9
110|Sub-categoria - 00110|9
112|Sub-categoria - 00112|9
155|Sub-categoria - 00155|9
171|Sub-categoria - 00171|9
183|Sub-categoria - 00183|9
242|Sub-categoria - 00242|9
246|Sub-categoria - 00246|9
271|Sub-categoria - 00271|9
279|Sub-categoria - 00279|9
303|Sub-categoria - 00303|9
332|Sub-categoria - 00332|9
352|Sub-categoria - 00352|9
353|Sub-categoria - 00353|9
356|Sub-categoria - 00356|9
370|Sub-categoria - 00370|9
374|Sub-categoria - 00374|9
387|Sub-categoria - 00387|9
389|Sub-categoria - 00389|9
406|Sub-categoria - 00406|9
407|Sub-categoria - 00407|9
409|Sub-categoria - 00409|9
412|Sub-categoria - 00412|9
421|Sub-categoria - 00421|9
424|Sub-categoria - 00424|9
425|Sub-categoria - 00425|9
451|Sub-categoria - 00451|9
457|Sub-categoria - 00457|9
494|Sub-categoria - 00494|9
501|Sub-categoria - 00501|9
512|Sub-categoria - 00512|9
521|Sub-categoria - 00521|9
527|Sub-categoria - 00527|9
554|Sub-categoria - 00554|9
571|Sub-categoria - 00571|9
578|Sub-categoria - 00578|9
644|Sub-categoria - 00644|9
686|Sub-categoria - 00686|9
711|Sub-categoria - 00711|9
740|Sub-categoria - 00740|9
742|Sub-categoria - 00742|9
769|Sub-categoria - 00769|9
828|Sub-categoria - 00828|9
829|Sub-categoria - 00829|9
852|Sub-categoria - 00852|9
877|Sub-categoria - 00877|9
916|Sub-categoria - 00916|9
921|Sub-categoria - 00921|9
932|Sub-categoria - 00932|9
935|Sub-categoria - 00935|9
939|Sub-categoria - 00939|9
